,Name,Artist,Popularity,Song ID,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Lyrics,Positive,Neutral,Negative,Compound,Genre
0,Die For You - Remix,The Weeknd,82,7oDd86yk8itslrA9HRP2ki,0.531,0.525,1,-6.5,0,0.0671,0.232,0.0,0.441,0.502,66.9,"TranslationsEspaÃ±olItalianoDeutschDie For You  Lyrics
I'm findin' ways to articulate the feelin' I'm goin' through
I just can't say I don't love you 
'Cause I love you, yeah
It's hard for me to communicate the thoughts that I hold
But tonight, I'm gon' let you know
Let me tell the truth
Baby, let me tell the truth, yeah
You know what I'm thinkin', see it in your eyes
You hate that you want me, hate it when you cry
You're scared to be lonely, 'specially in the night
I'm scared that I'll miss you, happens every time
I don't want this feelin', I can't afford love
I try to find a reason to pull us apart
It ain't workin' 'cause you're perfĞµct
And I know that you're worth it
I can't walk away, oh
Even though we'rĞµ goin' through it 
And it makes you feel alone
Just know that I would die for you 
Baby, I would die for you, yeah
The distance and the time between us 
It'll never change my mind 'cause
Baby, I would die for you 
Baby, I would die for you, yeah
I'm findin' ways to stay concentrated on what I gotta do
But, baby boy, it's so hard 'round you
And yes, I'm blamin' you
And you know I can't fake it, now or never
And you insinuatin' that you think we might be better
Better me and you
Yeah, I know you do
You know what I'm thinkin', see it in your eyes
You hate that you want me, hate it when you cry
It ain't workin' 'cause you're perfect 
And I know you deserve it
I can't walk away
You might also like
Even though we're goin' through it
And it makes you  feel alone
Just know that I would die for you 
Baby, I would die for you, yeah
The distance and the time between us
It'll never change my mind 'cause
Baby, I would die for you 
Baby, I would die for you, yeah 
I would die for you, I would lie for you
Keep it real with you, I would kill for you, my baby
I'm just sayin', yeah
I would die for you, I would lie for you
Keep it real with you, I would kill for you, my baby
Na-na-na, na-na-na, na-na-na
Even though we're goin' through it 
And it makes you feel alone 
Just know that I would die for you 
Baby, I would die for you, yeah
The distance and the time between us 
It'll never change my mind 'cause 
Baby, I would die for you 
Baby, I would die for you, yeah 11Embed",0.125,0.625,0.25,-0.9982,Pop
1,Flowers,Miley Cyrus,100,0yLdNVWF3Srea0uzk55zFn,0.707,0.681,0,-4.325,1,0.0668,0.0632,5.15e-06,0.0322,0.646,117.999,"TranslationsEspaÃ±olPortuguÃªsKiswahiliDeutschItalianoĞ¡Ñ€Ğ¿ÑĞºĞ¸NederlandsSvenskaPolskiTÃ¼rkÃ§eÎ•Î»Î»Î·Î½Î¹ÎºÎ¬FranÃ§aisDanskFlowers Lyrics
We were good, we were gold
Kinda dream that can't be sold
We were right 'til we weren't
Built a home and watched it burn
Mm, I didn't wanna leave you, I didn't wanna lie
Started to cry, but then remembered I
I can buy myself flowers
Write my name in the sand
Talk to myself for hours
Say things you don't understand
I can take myself dancing
And I can hold my own hand
Yeah, I can love me better than you can
Can love me better, I can love me better, baby
Can love me better, I can love me better, baby
Paint my nails cherry-red
Match the roses that you left
No remorse, no regret
I forgive every word you said
Ooh, I didn't wanna leave you, baby, I didn't wanna fight
Started to cry, but then remembered I
I can buy myself flowers
Write my name in the sand
Talk to myself for hours, yeah
Say things you don't understand
I can take myself dancing, yeah
I can hold my own hand
Yeah, I can love me better than you can
Can love me better, I can love me better, baby
Can love me better, I can love me better, baby
Can love me better, I can love me better, baby
Can love me better, I 
You might also like
I didn't wanna leave you, I didn't wanna fight
Started to cry, but then remembered I
I can buy myself flowers 
Write my name in the sand
Talk to myself for hours 
Say things you don't understand 
I can take myself dancing, yeah
I can hold my own hand
Yeah, I can love me better than
Yeah, I can love me better than you can
Can love me better, I can love me better, baby 
Can love me better, I can love me better, baby 
Can love me better, I can love me better, baby
Can love me better, I32Embed",0.517,0.439,0.044,0.9998,Pop
2,Boy's a liar Pt. 2,PinkPantheress,91,6AQbmUe0Qwf5PZnt4HmTXv,0.696,0.809,5,-8.254,1,0.05,0.252,0.000128,0.248,0.857,132.962,"TranslationsPortuguÃªsTÃ¼rkÃ§eBoyâ€™s a liar Pt. 2 Lyrics
Take a look inside your heart
Is there any room for me 
I won't have to hold my breath
Till you get down on one knee 
Because you only want to hold me
When I'm looking good enough 
Did you ever feel me?
Would you ever picture us? 
Every time I pull my hair
Well, it's only out of fear 
That you'll find me ugly
And one day you'll disappear because
What's the point of crying?
It was nĞµver even lovĞµ 
Did you ever want me?
Was I ever good enough? 
The-the boy's a liar, the boy's a liar
He doesn't see ya, you're not looking at me, boy
The boy's a liar, the boy's a liar
He doesn't see ya, you're not looking at me, boy
Good eno-o-ough, good eno-o-ough
Good eno-o-ough, good eno-o-ough
Good eno-o-ough, good eno-o-ough
Good eno-o-ough, good eno-o-ough
He say that I'm good enough, grabbin' my duh-duh-duh
Thinkin' 'bout shit that I shouldn't've 
So I tell him there's one of me, he makin' fun of me 
His girl is a bum to me 
Like that boy is a cap
Sayin' he home, but I know where he at, like
Bet he blowin' her back
Thinkin' 'bout me 'cause he know that it's fat 
And it been what it been 
Callin' his phone like, ""Yo, send me a pin""
Duckin' my shit, 'cause he know what I'm on 
But when he hit me I'm not gon' respond 
But I don't sleep enough without you
And I can't eat enough without you 
If you don't speak, does that mean we're through? 
Don't like sneaky shit that you do 
You might also like
The-the boy's a liar, the boy's a liar
He doesn't see ya, you're not looking at me, boy
The boy's a liar, the boy's a liar
He doesn't see ya, you're not looking at me, boy
Good eno-o-ough, good eno-o-ough
Good eno-o-ough, good eno-o-ough
Good eno-o-ough, good eno-o-ough
Good eno-o-ough, good eno-o-ough8Embed",0.195,0.681,0.124,0.9664,Latin
3,Kill Bill,SZA,92,1Qrg8KqiBpW07V7PNxwwwL,0.644,0.735,8,-5.747,1,0.0391,0.0521,0.144,0.161,0.418,88.98,"TranslationsEspaÃ±olPortuguÃªsItalianoTÃ¼rkÃ§eDeutschNederlandsæ—¥æœ¬èªà·ƒà·’à¶‚à·„à¶½Kill Bill Lyrics
I'm still a fan even though I was salty
Hate to see you with some other broad, know you happy
Hate to see you happy if I'm not the one drivin'
I'm so mature, I'm so mature
I'm so mature, I got me a therapist to tell me there's other men
I don't want none, I just want you
If I can't have you, no one should, I might
I might kill my ex, not the best idea
His new girlfriend's next, how'd I get here?
I might kill my ex, I still love him, though
Rather be in jail than alone
I get the sense that it's a lost cause
I get the sense that you might really love her
The text gon' be evidence, this text is evidence
I try to ration with you, no murders, no crime of passion
But, damn, you was out of reach
You was at the farmer's market with your perfect peach
Now I'm in amazement, playin' on my patience
Now you layin' face-down, got me singin' over a beat
I'm so mature, I'm so mature
I'm so mature, I got me a therapist to tell me there's other men
I don't want none, I just want you
If I can't have you, no one will, I 
I might kill my ex, not the best idea
His new girlfriend's next, how'd I get here?
I might kill my ex, I still love him, though
Rather be in jail than alone
You might also like
I did it all for love 
I did it all on no drugs 
I did all of this sober
I did it all for us, oh
I did it all for love 
I did all of this on no drugs 
I did all of this sober
Don't you know I did it all for us? 
Oh, I just killed my ex, not the best idea 
Killed his girlfriend next, how'd I get here?
I just killed my ex, I still love him, though 
Rather be in hell than alone67Embed",0.203,0.609,0.188,0.6321,Edm
4,Escapism.,RAYE,89,5Z2MiIZ5I3jJvvmeWMLbOQ,0.538,0.742,2,-5.355,1,0.114,0.138,4.67e-05,0.0934,0.25,96.107,"TranslationsTÃ¼rkÃ§eEspaÃ±olPortuguÃªsEscapism. Lyrics
Sleazin' and teasin', I'm sittin' on him
All of my diamonds are drippin' on him
I met him at the bar, it was twelve or something
I ordered two more wines 'cause tonight, I want him
A little context if you care to listen
I find myself in a shit position
The man that I love sat me down last night
And he told me that it's over, dumb decision
And I don't wanna feel how my heart is rippin'
In fact, I don't wanna feel, so I stick to sippin'
And I'm out on the town with a simple mission
In my little black dress and this shit is sittin'
Just a heart broke bitch, high heels six inch
In the back of the nightclub, sippin' champagne
I don't trust any of these bitches I'm with
In the back of the taxi sniffin' cocaine
Drunk calls, drunk texts, drunk tears, drunk sex
I was lookin' for a man who was on the same page
Now it's back to the intro, back to the bar
To the Bentley, to the hotel, to my old ways
'Cause I don't wanna feel how I did last night
I don't wanna feel how I did last night
Doctor, doctor, anything, please
Doctor, doctor, have mercy on me
Take this pain away
You're askin' me my symptoms, doctor, I don't wanna feel
Toke this joint how I'm blowin' this steam
Back to my ways like 2019
Not twenty-four hours since my ex did dead it
I got a new man on me, it's about to get sweaty
Last night really was the cherry on the cake
Been some dark days lately and I'm findin' it cripplin'
Excuse my state, I'm as high as your hopes
That you'll make it to my bed, get me hot and sizzlin'
If I take a step back to see the glass half-full
At least it's the Prada two-piece that I'm trippin' in
And I'm already actin' like a dick, know what I mean?
So you might as well stick it in
You might also like
Just a heart broke bitch, high heels six inch
In the back of the nightclub, sippin' champagne
I don't trust any of these bitches I'm with
In the back of the taxi sniffin' cocaine
Drunk calls, drunk texts, drunk tears, drunk sex
I was lookin' for a man who was on the same page
Now it's back to the intro, back to the bar
To the Bentley, to the hotel, to my old ways
'Cause I don't wanna feel how I did last night
I don't wanna feel how I did last night
Doctor, doctor, anything, please
Doctor, doctor, have mercy on me
Take this pain away
You're askin' me my symptoms, doctor, I don't wanna feel, mm 
'Cause I don't wanna feel like I felt last night
I don't wanna feel like I felt last night
Be at peace with the things you can't change 
I'll be naked when I leave and I was naked when I came, yeah
Out of reach, out of touch
Too numb, I don't feel no way
Toast up, so what?
Street small, but it go both ways
So, you'll run, yeah
But you'll never escape
Sunset in the maze
I don't wanna feel how I did last night
I don't wanna feel how I did last night, oh
Doctor, doctor, anything, please
Doctor, doctor, have mercy on me
You're askin' me my symptoms, doctor, I don't wanna feel
I don't wanna feel how I did last night
I don't wanna feel how I did last night
I don't wanna feel how I did last night
Mm, lipstick smudged like modern art
I don't know where the fuck I am or who's drivin' the fuckin' car
Speedin' down the highway, sippin'
Mixin' pills with the liquor 'cah fuck these feelings
I left everyone I love on read 
Spilling secrets to the stranger in my bed 
I remember nothing so there's nothing to regret 
Other than this 4/4 kick drum poundin' in my head15Embed",0.083,0.823,0.095,-0.7889,Pop
5,Creepin' (with The Weeknd & 21 Savage),Metro Boomin,94,2dHHgzDwk4BJdRwy9uXhTO,0.715,0.62,1,-6.005,0,0.0484,0.417,0.0,0.0822,0.172,97.95,"New Music Friday 12/02/22 LyricsMetro Boomin - Creepin' 
Lewis Capaldi - Pointless
Arcangel - La Jumpa
PinkPantheress - Boy's a liar
A$AP Rocky - Shittin' Me
Pheelz - Ballin
Villano Antillano - KaleidoscÃ³pica
100 gecs - Torture Me 
Latto - FTCU 
Morgan Wallen - One Thing At A Time
Jessie Murph - Drunk in the Bathtub
Nas - One Mic, One Gun
$uicideboy$ - My Swisher Sweet, But My Sig Sauer
RM - Still Life 
Quinn XCII - Let Me Down 
Noah Cyrus - Set For Life
PNAU - You Know What I Need
Bad Gyal - Real G
Metallica - Lux Ã†terna
NEIL FRANCES - HighğŸš
Stephen Dawes - It Could Be Me
Parker McCollum - Stoned
MOUNT WESTMORE - Activated
Coi Leray - Players
Joy Oladokun - Power
James Arthur - Heartbeat
Katie Gregson-MacLeod - white lies
brakence - 5g
Snakehips - Solitude 
Cruza - Fantasy
halfâ€¢alive - Nobody
RINI - Pressure
SkyeChristy - I'm Not Like Alice
Lyn Lapid - Saturn
Jelly Roll - she
Loud Luxury - Afterparty
Finesse2tymes - Overdose
2Rare - Lil Mama
Precious Pepala - Voices
Julia Wolf - Gothic Babe Tendencies 
Felly - me and my gang
SASH - biscayne
Louis The Child - Amsterdam  - Single VersionğŸš
ITZY - Cheshire
Olivia Knox - Smoke SignalğŸš
Emotional Oranges - Let Me Go
Lil Peep - angeldust
Nippa - The One
Babyface Ray - Wonderful Wayne & Jackie Boy 
Justus Bennetts - Everything Is Nothing
Carlie Hanson - Pretender
Lainey Wilson - New Friends
Aya Nakamura - SMS
Powfu - shade of blue 
OHGEESY - Gallery
Lil Mosey - Backpack
Yandel - Delincuente
Nakkia Gold - Past
Two Friends - Hate Me 
Chloe George - Sunny D
Emei - Backtrack
Against The Current - blindfolded
Icewear Vezzo - One Time â˜‘ï¸
Saucy Santana - Bop Bop
Russ Millions - One of a Kind
Jordan Hawkins - Screamin'ğŸš
THEY. - Set Me Free
LU KALA - Pretty Girl Era
Circa Waves - Carry You Home
Wallice - Japan
Jonah Kagen - georgia
Peach Tree Rascals - I Need ThatğŸš
Tenille Arts - Motel On the Moon
amy michelle - patience
Christian Kuria - Santorini
Yungeen Ace - Gang Nem â˜‘ï¸
Sheck Wes - PAIN!
Carl Cox - Deep Space X ğŸš
RL Grime - Renegade
Hunter Daily - Skeleton Key
Alex Warren - Chasing Shadows
will hyde - 6am in amsterdam.
Baby Fisher - This is the EndğŸš
hey, nothing - Too Drunk to Driveâ˜‘ï¸
lozeak - Cutthroat
moony - machinesğŸš
Ivan Cornejo - Ya Te PerdÃ­
AÃ¡yanna - Risky
David Dunn - PoisonğŸš
Rileyy Lanez - On Us
Laci Kaye Booth - Damn Good in a Dive BarğŸš
Ellise - Did It Hurt?
Ellye Lennon - PriorityğŸš
Blair Lee - Last BiteğŸš
Day Wave - Cold Like Me
Daniel Allan - Minuteman ğŸš
Kieran Ivy - Figured Out
Teenage Priest - Let It PassğŸš
Grabbitz - When You & Me Dance
Adeem the Artist - CarolinaEmbed",0.107,0.777,0.116,0.2053,Pop
6,Calm Down (with Selena Gomez),Rema,92,0WtM2NBVQNNJLh6scP13H8,0.801,0.806,11,-5.206,1,0.0381,0.382,0.000669,0.114,0.802,106.999,"New Music Friday 08/26/22 LyricsDJ Khaled - BEAUTIFUL 
Lil Tjay - Beat the Odds
Joji - YUKON 
Elton John - Hold Me Closer
Rema - Calm Down 
Katie Gregson-MacLeod - complex 
The National - Weird Goodbyes 
KAROL G - GATÃƒÅ¡BELA
David Guetta - I'm Good 
Offset - CODE 
Quavo - Big Stunna 
Anitta - Practice 
NAV - Wrong Decisions
blackbear - dead inside
Ingrid Andress - Feel Like This
LANY - Congrats
JID - Bruddanem 
Lil Tecca - Treesha
CKay - you
anees - leave me
Madison Beer - DangĞµrous
Noah Cyrus - Every Beginning Ends
Surfaces - It Only TakĞµs Two
Muse - You Make Me Feel Like Itâ€™s Halloween
Joey Bada$$ - Let It Breathe
Thee Sacred Souls - Future Lover
ROLE MODEL - cross your mind
Sasha Alex Sloan - As It Was - Spotify Singles
BNXN fka Buju - In My Mind
Cheat Codes - I Remember
Marcus Mumford - Better Off High
Matt Maeson - Cut Deep
Big Narstie - Groundwork
Bastille - Hope For The Future
JVKE - i can't help it
IVE - After LIKE
DDG - If I Want You
SleazyWorld Go - India Me
Tai Verdes - how deep?
Julia Jacklin - Be Careful With Yourself
Rina Sawayama - Phantom
RAYE - Black Mascara
Kaleena Zanders - ME WITHOUT U
Laufey - Beautiful Stranger
Ashe - Emotional
GAYLE - god has a sense of humor
Marcus King - It's Too Late
Djo - Figure You Out
Tom The Mail Man - â€¢Outsideâ€¢
CORPSE - MISA MISA!
JELEEL! - STONE COLD!
22Gz - Why Would I Lack? 
Ray Vaughn - Dawg House
Spice - TAPE MEASURE
KornÃ©l KovÃ¡cs & Aluna - Follow You
Blake Rose - Magazine
HARDY - wait in the truck 
Kevin Kaarl - siente mÃƒÂ¡s
Kevin Gates - Major League
Dro Kenji - KILL EM FOR ME 
Bob Moses - Afterglow
Hope Tala - Leave It On The Dancefloor
Reik - 5 Estrellas
MorMor - Seasons Change
Savannah RÃ© - Closure
Ayron Jones - ""Filthy""
Kameron Marlowe - Over Now
Danielle Ponder - Only The Lonely
IDK - Free Slime
Real Boston Richey - I Want You
MASN - High School
L.S. Dunes - Permanent Rebellion
Isabel LaRosa - HEARTBEAT
Zevia - why am i alive
Alexa Cappelli - Temporary
Magdalena Bay - All You Do
Autumn! - Jay N Bey!
Meechy Darko - Lost Souls
Fredo Bang - Addy
Skip Marley - Jane
Britton - EAGER
Miya Folick - Bad Thing
Barny Fletcher - Backstroke
Curtis Waters - STAR KILLER
Games We Play - Get A Job
Koe Wetzel - Creeps
Mickey Guyton - Somethin' Bout You
Wild Pink - Hold My Hand
Lakeyah - Real Bitch 
CNCO - Miami
TWICE - Talk that Talk
Lolahol - Lock&Key
Lorelei Marcell - ANTISOCIAL
James Vickery - The Reason
Seaforth - Dr. Phil
Rend Collective - Hallelujah Anyway
Francis Karel - Handle with Care
Swansea Skag - DOG BOY
Gera MX â€“ PapÃ¡
nickname jos - LETTERMAN
Mayfly - Pretty EndingEmbed",0.158,0.726,0.117,0.9526,Latin
7,TQG,KAROL G,80,0DWdj2oZMBFSzRsi2Cvfzf,0.72,0.63,4,-3.547,0,0.277,0.673,0.0,0.0936,0.607,179.974,"TranslationsDeutschEnglishTQG Lyrics
La que te dijo que un vacÃ­o se llena con otra persona te miente
Es como tapar una herida con maquillaje, no se ve, pero se siente
Te fuiste diciendo que me superaste  y te conseguiste nueva novia 
Lo que ella no sabe es que tÃº todavÃ­a me estÃ¡' viendo toa' la historia' 
BebÃ©, Â¿quÃ© fue?, Â¿no pues que muy tragaÃ­to'? 
Â¿QuÃ© haces buscÃ¡ndome el la'o? Si sabes que yo errores no repito 
Dile a tu nueva bebÃ© que por hombres no compito
Que deje de estar tirando, que al meno' yo te tenÃ­a bonito
Verte con la nueva me doliÃ³ 
Pero ya estoy puesta pa' lo mÃ­o
Lo que vivimos se me olvidÃ³
Y eso e' lo que te tiene ofendido
Que hasta la vida me mejorÃ³
Por acÃ¡ ya no eres bienvenido
Vi lo que tu novia me tirÃ³
Eso no da ni rabia, yo me rÃ­o, yo me rÃ­o
No tengo tiempo pa' lo que no aporte, ya cambiÃ© mi norte
Haciendo dinero como deporte 
Llenando la cuenta, los show', el parking y el pasaporte 
'Toy mÃ¡s dura dicen los reporte'
Ahora tÃº quieres volver, se te nota, mmm, sÃ­
'PÃ©rame ahÃ­, que yo soy idiota 
Se te olvidÃ³ que estoy en otra
Y que te quedÃ³ grande La Bichota
BebÃ©, Â¿quÃ© fue? , Â¿no pues que muy tragaÃ­to'? 
Â¿QuÃ© haces buscÃ¡ndome el la'o?  Si sabes que yo errores no repito
Dile a tu nueva bebÃ© que por hombres no compito
Que deje de estar tirando, que al menos yo te tenÃ­a bonito 
You might also like
TÃº te fuiste y yo me puse triple M
MÃ¡s buena, mÃ¡s dura, mÃ¡s level
Volver contigo never, tÃº eras la mala suerte
Porque ahora la' bendicione' me llueven
Y quiere' volver, ya lo suponÃ­a
DÃ¡ndole like a la foto mÃ­a
TÃº buscando por fuera la comida
Yo diciendo que era monotonÃ­a
Y ahora quieres volver, ya lo suponÃ­a
DÃ¡ndole like a la foto mÃ­a 
Te ves feliz con tu nueva vida
Pero si ella supiera que me busca' todavÃ­a
BebÃ©, Â¿quÃ© fue? , Â¿no pues que muy tragaÃ­to'? 
Â¿QuÃ© haces buscÃ¡ndome el la'o?  Si sabes que yo errores no repito
Dile a tu nueva bebÃ© que por hombres no compito 
Que no tiene buena mano, y al menos yo te tenÃ­a bonito
O-O-Ovy On The Drums
Mi amor, es que usted se alejÃ³ mucho
Y yo de lejos ya no veo, bebÃ©
TQM pero TQG, jajaja
Barranquilla, Medallo2Embed",0.027,0.897,0.076,-0.9356,Rap
8,As It Was,Harry Styles,89,4LRPiXqCikLlN15c3yImP7,0.52,0.731,6,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,173.93,"TranslationsTÃ¼rkÃ§eEspaÃ±olPortuguÃªsæ—¥æœ¬èªItalianoÎ•Î»Î»Î·Î½Î¹ÎºÎ¬DeutschFranÃ§aisEnglishEnglishNederlandsShqipPolskií•œêµ­ì–´As It Was Lyrics
Come on, Harry, we wanna say goodnight to you
Holdin' me back
Gravity's holdin' me back
I want you to hold out the palm of your hand
Why don't we leave it at that?
Nothin' to say
When everything gets in the way
Seems you cannot be replaced
And I'm the one who will stay, oh-oh-oh
In this world, it's just us
You know it's not the same as it was
In this world, it's just us
You know it's not the same as it was
As it was, as it was
You know it's not the same
Answer the phone
""Harry, you're no good alone
Why are you sitting at home on the floor?
What kind of pills are you on?""
Ringin' the bell
And nobody's coming to help
Your daddy lives by himself
He just wants to know that you're well, oh-oh-oh
In this world, it's just us
You know it's not the same as it was
In this world, it's just us
You know it's not the same as it was
As it was, as it was
You know it's not the same
You might also like
Go home, get ahead, light-speed internet
I don't wanna talk about the way that it was
Leave America, two kids follow her
I don't wanna talk about who's doin' it first
As it was
You know it's not the same as it was
As it was, as it was184Embed",0.065,0.913,0.021,0.8746,Rock
9,Players,Coi Leray,88,6UN73IYd0hZxLi8wFPMQij,0.954,0.516,6,-5.817,1,0.16,0.03,7.54e-06,0.0504,0.624,105.001,"TranslationsTÃ¼rkÃ§ePlayers Lyrics
Yeah, 'cause girls is players too
Uh, yeah, yeah, 'cause girls is players too 
'Cause girls is players too
Bitches gettin' money all around the world 'cause girls is players too
What you know about livin' on the top?
Penthouse suites, lookin' down on the opps
Took him for a test drive, left him on the lot
Time is money, so I spent it on a watch
Hold on, lil' titties showin' through the white tee
You can see the thong bustin' out my tight jeans 
Rocks on my fingers like a nigga wifed me
Got another shorty? She ain't nothin' like me
Yeah, 'bout to catch another flight
Yeah, the apple bottom make him wanna bite
Yeah, I just wanna have a good night
I just wanna have a good night
Hold up, if you don't know, now you know
If he broke, then you gotta let him go
You could have anybody, eeny, miny, moe
'Cause when you a boss, you could do what you want
Yeah, 'cause girls is players too
Uh, yeah, yeah, 'cause girls is players too 
'Cause girls is players too
Bitches gettin' money all around the world 'cause girls is players too
I go on and on and on again
He blowin' up my phone, but I'm ignorin' him
He thinkin' he the one, I got like four of him
Yeah, I'm sittin' first class like valedictorian
Uh, came a long way from rag to riches
Five-star bitch, yeah, I taste so delicious
Let him lick the plate, yeah, I make him do the dishes
Now he on News 12 'cause a bitch went missin', sheesh
You might also like
Yeah, 'bout to catch another flight
Yeah, the apple bottom make him wanna bite
Yeah, I just wanna have a good night
I just wanna have a good night
Hold up, if you don't know, now you know
If he broke, then you gotta let him go
You could have anybody, eeny, miny, moe
'Cause when you a boss, you could do what you want
Yeah, 'cause girls is players too
Uh , girls is players too 
'Cause girls is players too
Bitches gettin' money all around the world 'cause girls is players too2Embed",0.177,0.76,0.063,0.9873,Rap
